,tradeDate,ticker,r,industryID1,industryName1
0,2012-07-31,000930,-0.03513346,1030301.0,农林牧渔
1,2012-07-31,600555,-0.0645029,1030324.0,休闲服务
2,2012-07-31,600866,0.03874633,1030314.0,食品饮料
3,2012-07-31,600573,0.01910143,1030314.0,食品饮料
4,2012-07-31,002024,-0.06084311,1030323.0,商业贸易
5,2012-07-31,002579,0.19817279,1030312.0,电子
6,2012-07-31,600155,0.11547705,1030322.0,非银金融
7,2012-07-31,002067,-0.01841557,1030316.0,轻工制造
8,2012-07-31,600877,0.098378,1030311.0,汽车
9,2012-07-31,002329,0.00671806,1030314.0,食品饮料
10,2012-07-31,600890,0.19624778,1030320.0,房地产
11,2012-07-31,002093,-0.00924455,1030327.0,通信
12,2012-07-31,000939,0.00669877,1030318.0,公用事业
13,2012-07-31,002229,0.20081943,1030316.0,轻工制造
14,2012-07-31,600538,0.27196399,1030317.0,医药生物
15,2012-07-31,600240,0.00317722,1030320.0,房地产
16,2012-07-31,600330,0.01855699,1030305.0,有色金属
17,2012-07-31,002377,0.04960899,1030320.0,房地产
18,2012-07-31,002610,0.13054801,1030318.0,公用事业
19,2012-07-31,300277,0.05937116,1030325.0,计算机
20,2012-07-31,600889,0.00722853,1030303.0,化工
21,2012-07-31,002156,0.06940063,1030312.0,电子
22,2012-07-31,300010,0.06006106,1030325.0,计算机
23,2012-07-31,300155,0.07224001,1030325.0,计算机
24,2012-07-31,600331,0.00497036,1030305.0,有色金属
25,2012-07-31,601113,0.02635337,1030323.0,商业贸易
26,2012-07-31,002045,-0.09869447,1030312.0,电子
27,2012-07-31,600747,-0.00565471,1030328.0,综合
28,2012-07-31,000502,0.06225659,1030320.0,房地产
29,2012-07-31,000756,0.0341492,1030317.0,医药生物
30,2012-07-31,600530,0.05023734,1030317.0,医药生物
31,2012-07-31,000533,0.01649272,1030308.0,电气设备
32,2012-07-31,300056,0.0655849,1030318.0,公用事业
33,2012-07-31,000683,-0.05661811,1030303.0,化工
34,2012-07-31,002295,0.0673968,1030305.0,有色金属
35,2012-07-31,000066,0.00961715,1030325.0,计算机
36,2012-07-31,600241,0.10225652,1030308.0,电气设备
37,2012-07-31,002066,0.14225769,1030306.0,建筑材料
38,2012-07-31,300126,0.00258539,1030309.0,机械设备
39,2012-07-31,002576,0.02367705,1030308.0,电气设备
40,2012-07-31,002602,0.00581784,1030326.0,传媒
41,2012-07-31,600189,0.04726815,1030314.0,食品饮料
42,2012-07-31,300246,0.05793219,1030317.0,医药生物
43,2012-07-31,600302,0.07261158,1030309.0,机械设备
44,2012-07-31,300103,0.13901109,1030309.0,机械设备
45,2012-07-31,600796,0.0096289,1030317.0,医药生物
46,2012-07-31,002141,0.08293979,1030312.0,电子
47,2012-07-31,002217,0.20241483,1030312.0,电子
48,2012-07-31,002127,0.02422818,1030323.0,商业贸易
49,2012-07-31,002321,-0.02124155,1030301.0,农林牧渔
50,2012-07-31,000882,0.12071597,1030323.0,商业贸易
51,2012-07-31,600744,-0.00366876,1030318.0,公用事业
52,2012-07-31,000973,0.05820638,1030303.0,化工
53,2012-07-31,600653,0.0,1030311.0,汽车
54,2012-07-31,600571,0.13499499,1030325.0,计算机
55,2012-07-31,600657,-0.0663181,1030320.0,房地产
56,2012-07-31,000692,0.03816882,1030318.0,公用事业
57,2012-07-31,600565,0.04775343,1030320.0,房地产
58,2012-07-31,002055,0.14782815,1030312.0,电子
59,2012-07-31,002212,0.05704215,1030325.0,计算机
60,2012-07-31,000518,0.03243156,1030317.0,医药生物
61,2012-07-31,600704,0.06542552,1030319.0,交通运输
62,2012-07-31,000928,0.33058479,1030307.0,建筑装饰
63,2012-07-31,000807,0.01813285,1030305.0,有色金属
64,2012-07-31,600297,0.04403614,1030311.0,汽车
65,2012-07-31,000061,0.05009297,1030323.0,商业贸易
66,2012-07-31,000420,0.19674291,1030303.0,化工
67,2012-07-31,600652,0.00921669,1030326.0,传媒
68,2012-07-31,600719,0.05124497,1030318.0,公用事业
69,2012-07-31,000551,0.21346272,1030309.0,机械设备
