date,HSI_I1,HSCEI_I2
2012-01-03,_,_
2012-01-04,_,_
2012-01-05,_,_
2012-01-06,_,_
2012-01-09,_,_
2012-01-10,_,_
2012-01-11,_,_
2012-01-12,_,_
2012-01-13,_,_
2012-01-16,_,_
2012-01-17,_,_
2012-01-18,_,_
2012-01-19,_,_
2012-01-20,_,_
2012-01-26,_,_
2012-01-27,_,_
2012-01-30,_,_
2012-01-31,_,_
2012-02-01,_,_
2012-02-02,_,_
2012-02-03,_,_
2012-02-06,_,_
2012-02-07,_,_
2012-02-08,_,_
2012-02-09,_,_
2012-02-10,_,_
2012-02-13,_,_
2012-02-14,_,_
2012-02-15,_,_
2012-02-16,_,_
2012-02-17,_,_
2012-02-20,_,_
2012-02-21,_,_
2012-02-22,_,_
2012-02-23,_,_
2012-02-24,_,_
2012-02-27,_,_
2012-02-28,_,_
2012-02-29,_,_
2012-03-01,_,_
2012-03-02,_,_
2012-03-05,_,_
2012-03-06,_,_
2012-03-07,_,_
2012-03-08,_,_
2012-03-09,_,_
2012-03-12,_,_
2012-03-13,_,_
2012-03-14,_,_
2012-03-15,_,_
2012-03-16,_,_
2012-03-19,_,_
2012-03-20,_,_
2012-03-21,_,_
2012-03-22,_,_
2012-03-23,_,_
2012-03-26,_,_
2012-03-27,_,_
2012-03-28,_,_
2012-03-29,_,_
2012-03-30,_,_
2012-04-02,_,_
2012-04-03,_,_
2012-04-05,_,_
2012-04-10,_,_
2012-04-11,_,_
2012-04-12,_,_
2012-04-13,_,_
2012-04-16,_,_
2012-04-17,_,_
2012-04-18,_,_
2012-04-19,_,_
2012-04-20,_,_
2012-04-23,_,_
2012-04-24,_,_
2012-04-25,_,_
2012-04-26,_,_
2012-04-27,_,_
2012-04-30,_,_
2012-05-02,_,_
2012-05-03,_,_
2012-05-04,_,_
2012-05-07,_,_
2012-05-08,_,_
2012-05-09,_,_
2012-05-10,_,_
2012-05-11,_,_
2012-05-14,_,_
2012-05-15,_,_
2012-05-16,_,_
2012-05-17,_,_
2012-05-18,_,_
2012-05-21,_,_
2012-05-22,_,_
2012-05-23,_,_
2012-05-24,_,_
2012-05-25,_,_
2012-05-28,_,_
2012-05-29,_,_
2012-05-30,_,_
2012-05-31,_,_
2012-06-01,_,_
2012-06-04,_,02688
2012-06-05,_,_
2012-06-06,_,_
2012-06-07,_,_
2012-06-08,_,_
2012-06-11,_,_
2012-06-12,_,_
2012-06-13,_,_
2012-06-14,_,_
2012-06-15,_,_
2012-06-18,_,_
2012-06-19,_,_
2012-06-20,_,_
2012-06-21,_,_
2012-06-22,00700-00883-00016-02018-01038,00700-00883-02601
2012-06-25,_,_
2012-06-26,_,_
2012-06-27,02382,01093
2012-06-28,_,_
2012-06-29,_,_
2012-07-03,_,_
2012-07-04,_,_
2012-07-05,_,_
2012-07-06,_,_
2012-07-09,_,_
2012-07-10,_,_
2012-07-11,_,_
2012-07-12,_,_
2012-07-13,_,_
2012-07-16,_,_
2012-07-17,_,_
2012-07-18,_,_
2012-07-19,_,_
2012-07-20,_,_
2012-07-23,00823,02628
2012-07-24,_,_
2012-07-25,_,_
2012-07-26,_,_
2012-07-27,_,_
2012-07-30,_,_
2012-07-31,_,_
2012-08-01,00017,_
2012-08-02,_,_
2012-08-03,_,_
2012-08-06,_,_
2012-08-07,_,_
2012-08-08,_,_
2012-08-09,_,_
2012-08-10,_,_
2012-08-13,_,_
2012-08-14,_,_
2012-08-15,_,_
2012-08-16,_,_
2012-08-17,00017,_
2012-08-20,_,02020
2012-08-21,_,_
2012-08-22,_,_
2012-08-23,_,_
2012-08-24,02007,_
2012-08-27,_,_
2012-08-28,_,_
2012-08-29,_,_
2012-08-30,_,_
2012-08-31,_,_
2012-09-03,_,_
2012-09-04,_,_
2012-09-05,00762,_
2012-09-06,_,_
2012-09-07,_,_
2012-09-10,_,_
2012-09-11,_,_
2012-09-12,_,_
2012-09-13,_,_
2012-09-14,_,_
2012-09-17,_,_
2012-09-18,_,_
2012-09-19,_,00960
2012-09-20,_,_
2012-09-21,01928,02382
2012-09-24,_,_
2012-09-25,_,_
2012-09-26,00017,_
2012-09-27,_,_
2012-09-28,_,_
2012-10-03,00288,00857
2012-10-04,_,_
2012-10-05,_,_
2012-10-08,_,_
2012-10-09,_,_
2012-10-10,_,_
2012-10-11,_,_
2012-10-12,_,_
2012-10-15,_,_
2012-10-16,_,_
2012-10-17,_,_
2012-10-18,_,_
2012-10-19,_,_
2012-10-22,_,_
2012-10-24,_,_
2012-10-25,_,00998
