Row,AUDJPY,AUDUSD,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,EURUSD,GBPJPY,GBPUSD,NZDJPY,NZDUSD,USDCAD,USDCHF,USDCNH,USDINR,USDJPY,USDRUB,USDTRY,USDZAR
2010-10-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-10-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-10-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-11-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-11-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-11-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-11-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-11-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-11-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-11-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-11-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-11-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-11-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-11-18,0,0,0,0,0,0,0,0,0.0123333925715301,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-11-19,0,0,0,0,0,0,0,0,0.00255424478617994,0,0,0,0,0,0.000835046248720106,0,0,NaN,0,0,0,0,0
2010-11-22,0,0,0,0,0,0,0,0,-0.00603227133839401,0,0,0,0,0,-0.00942173159617499,0,0,NaN,0,0,0,0,0
2010-11-23,0,0,0,0,0,0,0,0,-0.021130978595966,0,0,0,0,0,-0.017001205115911,0,0,NaN,0,0,0,0,0
2010-11-24,0,0,0,0,0,0,0,0,0.0021596134291999,0,0,0,0,0,0.00133141749824994,0,0,NaN,0,0,0,0,0
2010-11-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000184307530280092,0,0,NaN,0,0,0,0,0
2010-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-11-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-12-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-12-09,0,0,0,-0.000739514737472025,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-12-10,0,0,0,0.00582652006390005,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-12-13,0,0,0,0.0062832850602601,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-12-14,0,0,0,0.0115131960725099,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-12-15,0,0,0,-0.00165224774536998,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-12-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-12-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-12-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-12-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-12-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-12-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-12-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2010-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-01-06,0,0,0,0,0,0,0,0,0,0,0,0,-0.00281027425956404,0,0,0,0,NaN,0,0,0,0,0
2011-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0.00498354976116011,0,0,0,0,NaN,0,0,0,0,0
2011-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0.00145356315925005,0,0,0,0,NaN,0,0,0,0,0
2011-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0.00174045958408997,0,0,0,0,NaN,0,0,0,0,0
2011-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0.01082210838778,0,0,0,0,NaN,0,0,0,0,0
2011-01-13,0,0,-0.00564407847051396,0,0,0,0,0,0,0,0,0,0,0,0.00984783007254997,0,0,NaN,0,0,0,0,0
2011-01-14,-0.00578769569797399,0,0.00216289852301998,0,0,0,0.0015608619685501,0,0,0,0,0,0,0,-0.00574474155146898,0,0.000664141545170027,NaN,0.00645017793594005,0,0,0,0
2011-01-17,0.00057239590311009,0,-0.001335479639897,0,0,0,-0.00593908944299704,0,0,0,0,0,0,0,0.00706916565584992,0,0.000269628431279978,NaN,0.00419889502761994,0,0,0,0
2011-01-18,0.00447917427396005,0,-0.00548040070206401,0,0,0,0.00584977770845008,0,0,0,0,0,0,0,-0.000518047479051043,0,-0.00128557358353598,NaN,-0.00264084507042295,0,0,0,0
2011-01-19,-0.00564670528075994,0,-0.011213292674142,0,0,0,-0.00239609181141398,0,0,0,0,0,0,0,-0.00375779093724504,0,-0.00880298138709201,NaN,-0.000220653133274018,0,0,0,0.01469520518108
2011-01-20,-0.00199853765537406,0,0,0,0,0,0.01280207693683,0,0,0,0,0,0,0,0,0,0.0128504550548301,NaN,0.00551754579563002,0,0,0,0.01236440653711
2011-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00916141040223395,NaN,0,0,0,0,-0.00299680529247104
2011-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00969485723827002,NaN,0,0,0,0,-0.00788317028214902
2011-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00720796670003698,NaN,0,0,0,0,0.00790293537600006
2011-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000201674963644982,NaN,0,0,0,0,0.00168729706353998
2011-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,-0.00113240664722702
2011-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0.01782444803446
2011-01-31,0,0,0,0,0,0.00624917387537005,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,-0.000526287943551029
2011-02-01,0,0,0,0,0,-0.000284611286662018,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-02-02,0,0,0,0,0,-0.00438718154609796,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-02-03,0,0,0,0,0,-0.00974418758110995,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-02-04,0,0,0,0,0,-0.00644898563601404,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-03-03,0,0,0,0,0,0,0,0,0,0.0100632100406901,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-03-04,0,0,0,0,0,0,0,0,0,0.00480896824807009,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-03-07,0,0,0,0,0,0,0,0,0,0.00161644761864999,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-03-08,0,0,0,0,0,0,0,0,0,-0.00897631981435598,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-03-09,0,0,0,0,0,0,0,0,0,0.00397002788598999,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00802670833925301,0,NaN,0,0,0,0,0
2011-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00294614086235989,0,NaN,0,0,0,0,0
2011-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00116275511765007,0,NaN,0,0,0,0,0
2011-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00668317083855496,0,NaN,0,0,0,0,0
2011-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00698454374827007,0,NaN,0,0,0,0,0
2011-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-03-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-04-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-04-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-04-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-04-21,0,0.00308094482307997,0,0,0,0.00253038266616001,0,0,0,0,0,0,0,-0.004954106133366,0.00367513327061997,0,0,NaN,0,0,0,0,0
2011-04-22,0,-0.000381608339538042,0,0,0,0.000901427139450073,0,0,0,0,0,0,0,0.00282537646232006,0.00129970756579989,0,0,NaN,NaN,0,0,0,0
2011-04-25,0,-0.00212292479445797,0,0,0,0.00219750133291008,0,0,0,0,0,0,0,-0.00449263664468602,-0.00283317940141303,0,0,NaN,0,0,0,0,0
2011-04-26,0,0.00563585298261993,0,0,0,0.00129404237269992,0,0,0,0,0,0,0,0.00160629053971006,0.00513173540272005,0,0,NaN,0,0,0,0,0
2011-04-27,0,0.00858269543029011,0,0,0,0.00801987377852997,0,0,0,0,0,0,0,0.0116842057031099,0.00454517153353007,0,0,NaN,0,0,0,0,0
2011-04-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00615456479336396,0
2011-05-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00649384383604001,0,0,0,0,0,0.0138779502553299,0
2011-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00718488696191,0,0,0,0,0,-0.00313226293468005,0
2011-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00394604677859101,0,0,0.00111209964413006,0,0,-0.00436752571812804,0
2011-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00222265669215205,0,0,-0.00111086425238804,0,0,-0.00905739929560601,0
2011-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00233073789511695,0,0,-0.002446619217082,0,0,0,0
2011-05-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000222965440360046,0,0,0,0
2011-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00646455639767995,0,0,0,0.0129404968226501
2011-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00547507699326999
2011-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00609301525403994
2011-05-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009476039158129
2011-05-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00421509955115695
2011-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,0,-0.00728559729661005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-13,0,0.00495908517679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-14,0,0.00782178778329001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-06-15,0,-0.010007957683846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-06-16,0,-0.00181567151476203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-07-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013247832106682
2011-07-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000531710631259008
2011-07-25,0,0,0,0,0,0,0,0,0,0,0,0,-0.00152762610584201,0,0,0,0,0,0,0,0,0,-0.000827545441110966
2011-07-26,0,0,0,0,0,0,0,0,0,0,0,0,0.00812908220634001,0,0,0,0,0,0,0,0,0,-0.012571360960748
2011-07-27,0,0,0,0,0,0,0,0,0,0,0,0,-0.00474182066409901,0,0,0,0,0,0,0,0,0,-0.00116829429033605
2011-07-28,0,0,0,0,0,0,0,0,0,0,0,0,0.00263328719977007,0,0,0,0,0,0,0,0,0,0
2011-07-29,0,0,0,0,0,0,0,0,0,0,0,0,0.00281571425081006,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-08-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-08-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-08-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-08-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-08-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-08-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-08-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0
2011-08-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010787931190493,0,NaN,0,0,0,0,0
2011-08-12,0,0,0,0,0.000996573822839908,0,0,0,0,0,0,0,0,0,0,0.00638276247585989,0,NaN,0,0,0,0,0
2011-08-15,0,0,0,0,-0.00127899540724397,0,0,0,0,0.01347433154455,0,0,0,0,0,-0.0113817689712979,0,NaN,0,0,0,0,0
2011-08-16,0,0,0,0,-0.00085860643809299,0,0,0,0,-0.00675430146910405,0,0,0,0,0,0.00322808021165999,0,NaN,0.000442155063780092,0,0,0,0
2011-08-17,0,0,0,0,-0.00457345937049403,0,0,0,0,-0.000377468060394959,0,0,0,0,0,-0.00164957691406897,0,NaN,0.00110489912271006,0,0,0,0
2011-08-18,0,0,0,0,0.00869145340415001,0,0,0,0,0.01328027420339,0,0,0,0,0,0,0,0,0.00898395249763007,0,0,0,0
2011-08-19,0,0,0,0,0,0,0,0,0,0.00765389488650992,0,0,0,0,0,0,0,0,-0.002187705097353,0,0,0,0
2011-08-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
